Sim_num	Dist	MRATE	oriLat	oriLon	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13
4167	17.9587	0.00484188	4.04654	19.2996	3.19258	-1.36382	-0.592872	-5.13343	-0.086893	1.42966	-0.0951161	-0.479826	-0.185312	-0.69095	0.116388	-0.617695	0.121532
4292	16.4974	0.00817379	0.794339	18.5435	2.22059	-1.55626	-1.37411	-5.12246	-0.0604201	2.51539	1.40926	0.952269	-0.25555	-0.807344	0.780681	-0.558249	-0.842807
4426	14.9861	0.00355822	4.5304	19.8485	4.69112	-1.86219	-0.973866	-4.12508	-3.21756	0.78859	-0.914079	0.797657	-1.22082	-1.94961	-0.0845877	-0.275818	1.15589
4463	17.6972	0.00764325	1.20247	14.8176	-0.235398	-0.362777	-0.631865	-3.75874	-2.96957	0.789012	0.985573	0.753634	0.163124	-1.22649	-0.118077	0.716314	-1.5768
4492	12.5628	0.00786435	1.00561	6.22647	-0.572916	-1.11894	1.17677	-5.05994	-2.95116	2.59555	-1.09549	1.77644	-1.56883	-2.24728	-0.0460345	1.24457	0.739472
4601	11.7242	0.00791448	2.93088	13.6044	0.802742	-0.708076	-1.66137	-4.00423	-3.32964	1.61949	-0.217528	1.24402	-1.09101	-0.457711	0.338304	0.361691	-1.23855
4625	10.9234	0.00428957	4.06789	19.6763	3.06212	-2.62354	-0.604106	-5.65862	-1.80572	0.828165	-0.663147	-0.0996658	0.127568	-2.10536	-0.210942	-1.01211	0.115743
4842	16.1729	0.00687164	1.65822	17.7024	2.15971	-1.81958	-2.55154	-5.10064	-2.39675	0.88269	-0.742311	-0.543904	-0.287119	-1.24973	-0.464998	-0.619658	1.00726
5154	15.2582	0.00773898	1.67593	13.9947	2.80253	-2.51798	0.404581	-4.27597	-1.04671	0.906984	0.613605	-0.116546	1.0153	-1.31849	1.19759	0.910511	-0.213277
5298	15.9411	0.00392441	2.07579	15.6085	4.21165	-2.24365	0.732424	-3.50956	-2.36222	0.296689	-0.101018	0.461577	0.100411	-1.46601	-0.054453	0.0419484	-0.635505
5308	7.49114	0.002397	2.93801	18.6551	3.01309	-2.12633	1.27877	-4.03972	-2.22865	1.0637	-1.04849	0.904803	-1.01903	-1.9741	0.428025	0.526168	-0.61937
5481	16.6409	0.00680713	1.42435	17.6731	3.20199	-1.15156	0.576184	-4.10087	-2.11045	0.31677	-2.31108	0.369532	-1.78661	-1.1305	0.408166	1.08699	-0.85248
5532	15.2387	0.00426425	3.93369	17.3147	3.4775	-1.03417	-1.43545	-3.39041	-1.21918	1.60286	0.0665869	0.00279318	-0.60637	-1.10671	0.0841203	0.425688	0.0157076
5601	11.2441	0.00533562	0.524252	15.3348	3.62157	-1.95228	-0.244382	-3.68673	-1.16172	0.889873	-1.3973	1.12075	-1.42695	-1.75458	0.931215	0.307174	-0.522467
5674	11.1644	0.00837922	1.60097	20.059	3.27874	-2.2962	-2.18848	-3.85208	-1.57737	1.42591	0.200423	1.291	-1.24895	-1.70597	0.851994	-0.894215	0.333065
5820	16.6007	0.00669386	3.20513	20.858	3.53198	-2.7354	-1.2116	-4.79396	-2.48997	1.02769	0.724426	0.902035	0.39768	-0.376441	-0.349387	-1.15519	1.00887
5852	13.6795	0.00576069	3.3498	18.9643	2.03595	-0.435694	-1.97446	-4.04018	-1.8363	1.83456	-0.763255	1.27552	-2.20752	-0.311528	0.5254	0.268115	0.188198
6680	15.549	0.00586293	5.18174	11.9205	0.786855	-0.770562	-0.110542	-3.38741	-2.36663	0.993418	0.307584	0.438503	0.476652	0.0295688	0.138758	-0.0358357	-0.548396
7030	11.4048	0.00556839	4.70997	15.8755	2.97506	-1.05444	-1.02588	-3.00066	-2.48007	1.02966	-0.88151	0.634985	-0.666791	-1.36569	-0.120261	0.499216	-0.21358
7249	5.2829	0.00489535	4.2549	19.7512	3.22767	-1.86492	-0.337753	-5.7283	-2.41487	1.29936	-0.909411	0.456213	-0.951086	-2.244	1.17734	0.624668	-0.21083
7300	9.83505	0.00640312	4.03485	14.0101	2.55395	-1.5165	-0.100497	-4.41342	-1.23024	1.8733	0.78543	0.211602	0.280851	-1.44374	1.00726	1.08689	-0.33877
7464	14.393	0.00566182	3.42419	20.1912	1.26593	-1.66812	-2.1297	-3.96816	-1.87828	1.55166	-0.666017	1.06998	-0.573417	0.221938	0.108084	-0.00550524	-0.577741
7568	17.1527	0.00785064	6.23337	16.7025	2.37566	-1.35749	-1.818	-3.90297	-0.86143	0.861334	-1.33787	0.405722	0.109852	-0.89303	-0.135178	0.538332	-0.757865
7769	15.8052	0.00767518	3.00507	16.6874	1.97752	-0.988307	-3.03091	-3.5923	-1.64462	1.28378	-0.891603	0.56888	-0.549027	-1.49849	0.246122	0.452677	0.0552717
7851	14.8129	0.00476427	2.47015	17.1486	3.62823	-2.14027	0.969178	-3.70259	-2.65141	0.931287	0.40942	1.94162	-0.324532	-0.00337467	0.320908	0.16253	-0.715494
7900	17.8146	0.0078071	1.61329	19.8815	1.876	-2.59107	-2.40857	-4.76789	-1.89132	0.870543	-1.70466	2.20849	-0.647801	-0.0223992	-0.282673	-0.212851	0.668691
7916	17.6179	0.00506508	6.67824	20.2193	2.47387	-1.05134	-2.98374	-3.3167	-2.54688	1.65187	0.648511	0.531686	-0.332938	-0.685425	0.332832	-0.0764446	0.403167
8065	5.44368	0.00896735	1.99394	17.4463	1.91657	-1.17668	-0.592148	-4.38823	-1.75185	1.56009	-1.20231	1.26255	-1.11802	-1.57101	0.217186	0.967359	0.0563675
8415	14.5921	0.00896545	1.5068	16.0156	3.2971	-1.24779	-0.95303	-3.58265	-2.07566	2.63342	1.94286	1.75645	-0.762916	-1.17979	0.599143	0.926798	-0.826981
8520	15.9191	0.00681919	0.973572	16.0874	3.62669	-2.25331	0.948759	-4.81123	-2.02619	0.547896	-0.293667	-0.344213	0.791696	-2.27703	0.321759	0.741894	-1.22123
8565	13.0924	0.00977777	1.15494	13.1972	2.07649	-1.38687	0.674968	-3.67729	-1.56204	2.38854	1.52847	2.32085	-1.87519	-1.83867	1.64394	1.45353	-1.02045
8903	14.973	0.00430183	2.86615	19.6874	3.62344	-3.50957	0.0190506	-4.70115	-2.15344	0.672401	-0.510127	1.26872	-0.0493098	-0.132083	0.521951	0.438571	-0.822508
8999	11.2983	0.00890995	2.37102	20.9484	2.34819	-2.39412	-1.59108	-5.46882	-1.91375	2.99166	1.64176	2.01231	-0.751072	-1.673	1.18107	0.395639	-1.25934
9154	15.8454	0.00816304	5.26299	14.312	1.25626	-0.437944	-0.614879	-3.93809	-2.36249	2.4826	1.34866	0.698501	-0.15681	-0.0563704	1.17113	1.26564	-0.892517
9161	17.92	0.0058576	2.11977	11.6473	0.603734	-0.220707	0.882311	-3.06113	-3.35663	0.606049	-1.25601	0.905953	-0.693689	-0.0194039	0.397843	-0.242349	-0.211675
9295	15.0668	0.00679847	2.10054	18.0155	3.55154	-2.67716	-0.289895	-5.61156	-1.46213	0.936068	-1.51978	0.118453	-0.702178	-0.845488	0.497631	0.266554	1.51737
9382	17.2058	0.00593379	1.94939	21.2936	4.10048	-1.57733	-2.14829	-3.49218	-3.0288	0.595897	-1.37231	1.53392	-1.41058	-1.91309	-0.226305	-0.580067	-0.309726
9671	17.523	0.0056369	1.53498	20.7196	3.62114	-3.02303	-0.383039	-4.24552	-0.459427	0.32992	-0.798168	0.282465	-0.257338	-1.78166	0.312739	-1.24689	-0.474177
9725	17.3604	0.00633786	3.15323	18.0305	3.40579	-1.41463	-1.86575	-4.54673	-1.2078	1.39743	0.601655	0.309194	0.415456	-1.01307	-0.527108	-0.813275	0.349332
9801	12.9418	0.00500468	4.2058	15.8749	3.20515	-1.36801	-1.48473	-3.56434	-3.07564	1.43288	-0.0521895	1.43866	-0.590434	-0.0737313	0.192927	-0.0483531	0.641424
10028	7.78093	0.00475993	2.32062	21.3379	1.75691	-2.30997	-0.32175	-5.15417	-3.78522	1.07538	-1.45091	0.928545	-0.468726	-2.92686	-0.893464	-0.446171	0.288921
10072	15.3903	0.00475919	4.76529	10.0766	1.04371	-0.326022	0.851257	-3.25827	-2.27947	2.26655	1.27809	0.404014	-0.450229	-1.90742	1.0033	1.63775	-1.22115
